,应用领域,服务行业
PLC,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 造纸机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 农林牧渔
PLC 小型PLC,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 造纸机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 安防 制药
PLC 小型PLC CPU模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 造纸机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 安防 制药
PLC 小型PLC I/O扩展单元,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 木工机械 造纸机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 安防 制药
PLC 小型PLC I/O扩展单元 数字(离散)量输入模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 烟草机械 暖通空调 物流仓储设备 通用机械,电力 新能源 石化 化工 冶金 汽车制造 矿业 市政 交通运输 建筑楼宇 安防
PLC 小型PLC I/O扩展单元 数字(离散)量输出模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 通用机械,电力 新能源 石化 化工 冶金 汽车制造 矿业 市政 交通运输 环保 建筑楼宇 安防
PLC 小型PLC I/O扩展单元 数字(离散)量输入/输出模块,机床工具 纺织机械 包装机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 木工机械,电力 新能源 石化 化工 冶金 汽车制造 建材 矿业 市政 交通运输 环保 建筑楼宇 安防
PLC 小型PLC I/O扩展单元 模拟量输入模块,机床工具 纺织机械 包装机械 食品机械 风电设备 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备,电力 新能源 石化 化工 冶金 汽车制造 建材 矿业 市政 交通运输 环保 建筑楼宇 安防
PLC 小型PLC I/O扩展单元 模拟量输出模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 造纸机械,电力 新能源 石化 冶金 汽车制造 建材 矿业 食品饮料 环保 建筑楼宇 安防 制药
PLC 小型PLC I/O扩展单元 模拟量输入/输出模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 木工机械 造纸机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 安防 制药
PLC 小型PLC 温度测量扩展模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 建筑楼宇 安防 制药
PLC 小型PLC 温度测量扩展模块 热电偶扩展模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 建筑楼宇 安防 制药
PLC 小型PLC 温度测量扩展模块 热电阻扩展模块,机床工具 纺织机械 包装机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备,电力 新能源 石化 冶金 汽车制造 建材 矿业 市政 交通运输 建筑楼宇 安防
PLC 小型PLC 通讯模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 通用机械 OEM-其他,电力 新能源 石化 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 安防 制药
PLC 小型PLC 功能模块,机床工具 纺织机械 包装机械 食品机械 塑料机械,
PLC 小型PLC 功能模块 称重模块,,
PLC 小型PLC 功能模块 脉冲输出/定位模块,,
PLC 小型PLC 附件,纺织机械 包装机械 风电设备 橡胶机械 塑料机械 印刷机械 木工机械,电力 新能源 石化 冶金 汽车制造 建材 矿业
PLC 小型PLC 附件 编程电缆,,电力 汽车制造 建材 建筑楼宇 安防
PLC 小型PLC 附件 编程软件,,电力 石化 冶金
PLC 小型PLC 附件 存储器卡,,
PLC 小型PLC 附件 电池,,
PLC 小型PLC 附件 端子连接块,,
PLC 小型PLC 附件 端子排,,
PLC 小型PLC 附件 其它,纺织机械 包装机械 橡胶机械,
PLC 小型PLC 电源模块,,
PLC 中型PLC,机床工具 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 建筑楼宇 安防 制药
PLC 中型PLC CPU模块,机床工具 通用机械 OEM-其他,油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 制药
PLC 中型PLC I/O模块,,冶金
PLC 中型PLC I/O模块 数字(离散)量输入模块,,冶金
PLC 中型PLC I/O模块 数字(离散)量输出模块,,冶金
PLC 中型PLC I/O模块 数字(离散)量输入输出模块,,冶金
PLC 中型PLC I/O模块 模拟量输入模块,,冶金
PLC 中型PLC I/O模块 模拟量输出模块,,冶金
PLC 中型PLC I/O模块 模拟量输入输出模块,,冶金
PLC 中型PLC I/O模块 热电偶输入,,冶金
PLC 中型PLC 功能模块,机床工具 通用机械,电力 新能源 石化 冶金 汽车制造 建材 造纸 矿业 建筑楼宇 安防
PLC 中型PLC 功能模块 称重模块,,
PLC 中型PLC 功能模块 电源模块,通用机械,
PLC 中型PLC 功能模块 定位模块,机床工具,
PLC 中型PLC 功能模块 高速计数模块,机床工具,
PLC 中型PLC 功能模块 通讯模块,机床工具,电力 新能源 石化 冶金 汽车制造 建材 造纸 矿业 建筑楼宇 安防
PLC 中型PLC 功能模块 运动控制模块,,
PLC 中型PLC 接口模块,,
PLC 中型PLC 附件,,
