产品名称,产品简介,产品分类,品牌,产品图片,产品介绍
矩形科技 CMPAC加固大型PLC,CMPAC是矩形科技与航天一院联合研制的控制系统，是国内为数不多按航天级标准设计开发的大型PLC，已在多个重点型号列装，产品满足航空、航天、船舶、地面机动的中大型规模控制需求。,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/3a09ba50620a44be879e6977c4c305cc_w.png,优势特点： 1、完全自主知识产权； 2、镁铝合⾦外壳，全加固； 3、通过相关环境试验认证； 4、已在多款国家重点型号列装； 5、通道级隔离，满足最苛刻的控制环境； 6、丰富的I/O模块选择； 7、⽀持多种通讯接⼝和协议； 8、采用J30J航空插头，防护等级⾼； 9、单CPU⽀持最多10000个I/O点，并可通过⼯业以太网或现场总线构成更⼤的分布式系统； 10、处理速度快，单指令0.01uS； 11、支持系统级、模块级、I/O级多层次冗余； 12、采用航天定制 PLC 专用SOC处理器； 13、强大的自诊断和故障处理策略功能。 环境参数： 应用领域： 地面测发控系统；地面控制中心；数字化基地。 航空航天；船舶电气控制；雷达云台控制。
矩形科技 CMPAC加固大型PLC,CMPAC是矩形科技与航天一院联合研制的控制系统，是国内为数不多按航天级标准设计开发的大型PLC，已在多个重点型号列装，产品满足航空、航天、船舶、地面机动的中大型规模控制需求。,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/3a09ba50620a44be879e6977c4c305cc_w.png,优势特点： 1、完全自主知识产权； 2、镁铝合⾦外壳，全加固； 3、通过相关环境试验认证； 4、已在多款国家重点型号列装； 5、通道级隔离，满足最苛刻的控制环境； 6、丰富的I/O模块选择； 7、⽀持多种通讯接⼝和协议； 8、采用J30J航空插头，防护等级⾼； 9、单CPU⽀持最多10000个I/O点，并可通过⼯业以太网或现场总线构成更⼤的分布式系统； 10、处理速度快，单指令0.01uS； 11、支持系统级、模块级、I/O级多层次冗余； 12、采用航天定制 PLC 专用SOC处理器； 13、强大的自诊断和故障处理策略功能。 环境参数： 应用领域： 地面测发控系统；地面控制中心；数字化基地。 航空航天；船舶电气控制；雷达云台控制。
矩形科技 U90加固中型PLC,U90系列是矩形科技根据特种车载控制要求设计开发的全加固中型控制器，已在多个重点型号列装，产品满足车载、机载的分布式控制需求。,PLC 中型PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/f11a50f4cc554b548b1f6fa8c0a510ed_w.png,优势特点： 1、器件和种类可以达到双100%； 2、完全自主知识产权； 3、防护等级IP64，铝合金防水外壳全加固设计； 4、环境适应范围宽； 5、电路设计余量大，防护及抗干扰饱和设计； 6、抗冲击振动能力强； 7、支持IEC61131-3梯形图编程； 8、可扩展，支持多种通讯接口和协议； 9、高可靠宽范围电源设计（9~36V）； 10、强大的自诊断和故障处理策略功能； 11、软件功能丰富，可方便地满足各种控制需求； 环境参数： 应用领域： 特种车辆控制；雷达控制；船舶环境控制；
矩形科技 U80加固小型PLC,U80系列是矩形科技根据特种车载控制要求设计开发的全加固小型控制器，已在多个重点型号列装，产品满足车载、机载的分布式控制需求。,PLC PLC 小型PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/f1d25f48b72f4fdcb3c4ef7180f31951_w.png,优势特点： 1、器件和种类可以达到双100%； 2、完全自主知识产权； 3、防护等级IP64，铝合金防水外壳全加固设计； 4、环境适应范围宽； 5、电路设计余量大，防护及抗干扰饱和设计； 6、抗冲击振动能力强； 7、支持IEC61131-3梯形图编程； 8、可扩展，支持多种通讯接口和协议； 9、高可靠宽范围电源设计（9~36V）； 10、强大的自诊断和故障处理策略功能； 11、软件功能丰富，可方便地满足各种控制需求； 环境参数： 应用领域： 特种车辆控制；雷达控制；船舶环境控制；
矩形科技 wifi系列PLC,wifi系列PLC是矩形科技研制的新一代产品，包含八点数字量输出，八点数字量输入，三点模拟量输入，二点模拟量输出，可最大程度的节约控制器成本，给项目效益提供更好的保障。,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/f38c54e0ce274ab096f7faff3a4eb44a_w.png,产品简介： wifi系列 PLC 是矩形科技研制的新一代产品，功能设计灵活，自带模拟量，用户可根据需求进行修改配置。包含八点数字量输出，八点数字量输入，三点模拟量输入，二点模拟量输出，可最大程度的节约控制器成本，给项目效益提供更好的保障。 产品特点： 1、PLC内置WiFi模组，手机或PC能够便捷地连接至PLC WiFi网络，方便远程调试； 2、直观的WEB界面，用户可以实时监控PLC的数据流、系统状态及各类参数； 3、利用HTTP协议进行动态数据解析和处理，实现WEB页面的即时更新和数据展示，提升用户体验和系统的交互能力； 4、支持身份验证、黑白名单、访问控制、超时登录注销、通信加密、响应速度<=1ms； 应用领域： 水泵监控、机房监控、智能楼宇、智能家居； 视频演示：
矩形科技 宽温型系列PLC,矩形科技宽温型PLC主要使用在设备机房、高寒地区、军标工作温度范围等场合。N80、N90系列PLC均可以定制生产为宽温级别PLC，后缀以-W区分。,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/bde7c97aca734e97a024980c965cfaf3_w.png,产品简介： 矩形科技宽温型 PLC 即指可以工作在恶劣环境温度之下(-40~70摄氏度)，能够正常稳定使用，并发挥基本运作机能的PLC产品。可应用在：如设备机房工作在室外、高寒地区、军标工作温度范围等场合。N80、N90系列PLC均可以定制生产为宽温级别PLC，后缀以-W区分。 产品特点： 1、数字量输入；数字量输出(继电器、晶体管)； 2、支持比较，上下限中断梯形图； 3、支持异地远程在线实时编程调试； 4、4轴单脉冲输入，4路上升沿中断梯形图； 5、4轴AB相、方向脉冲输入； 6、具有丰富的通讯功能，如RS485、RS232、CAN等； 选型表： 应用领域： 设备机房工作在室外、高寒地区、军标工作温度范围等
矩形科技 云网关PLC模块,云网关PLC模块是矩形科技面向5G时代推出的一款边缘计算网关，能广泛应用于工业通讯协议接入；,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/bbbe0c17366a426884ed78971e05d039_w.png,产品特点： 1、工业互联网：支持极简工业工业互联网平台，用于远程监控； 2、功能强大：集 PLC 控制、超级网关、边缘计算于一体； 3、接口丰富：2路RS485、1路10/100M以太网； 4、多种上云：支持2G/3G/4G/5G/ADSL上云； 5、远程调试：远程编程，短信报警，任意协议互转； 6、本体存储：支持最大32G； 7、人机界面：支持手机APP、大屏网站。 选型表： 应用领域： 远程热水控制、城市物联网、智能楼宇；
矩形科技 N80系列PLC拓展模块,矩形PLC扩展模块主要为N80系列的扩展产品，具有数字量输入/输出、模拟量输入/输出，高精度，高可靠、高稳定的特点。,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/937bb4d0688f4ec095f9f8ae2bc9787e_w.png,产品特点： 1、数字量输入； 2、数字量输出（继电器、晶体管） 3、模拟量输入（电压0-10V，1-5V），电流（0-20mA、4-20mA、Pt100、K型热电偶）； 4、模拟量输出（0-10V电压、4-20mA电流） 选型表： 应用领域： 水泵设备、木工设备、印刷设备、石材加工、测试设备、CTP印前设备；
矩形科技 HMI触摸屏系列,矩形科技HMI触摸屏专为“万物互联”设计，可将机械设备数据向云端传输进入物联网，满足各大应用场景的显示需求。,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/99d749ea87f741cdac76e33525e15ff6_w_zAAC3LDF1nQ0124.png,产品特点： 1、支持图形组态功能，7天完成界面开发工作； 2、支持各种通讯协议； 3、支持常用 PLC ，数据采集模块； 4、高刷新、高频率，清晰可见； 5、适用于多种应用场景； 选型表： 应用领域： 机载、车载、楼宇自控、节能改造、机械装备等；
矩形科技 N90系列工程型PLC,N90系列PLC是一款打破中型PLC和小型PLC界限的高性能PLC，基于以太网、多通信口、数字量模拟量混合型一体化设计，主要面向工程项目，分布式控制等大点数的应用领域。,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/98b72d4f8bad4c07a20d470078ce92e0_w.png,产品简介： N90系列PLC是一款打破中型PLC和小型PLC界限的高性能PLC，基于以太网、多通信口、数字量模拟量混合型一体化设计，主要面向工程项目，分布式控制等大点数的应用领域。 产品特点： 1、采用高速ARM处理器，速度可达210MIPS（72MIPS）指令同比快3倍 2、单体本体可最大支持22路模拟量，74路数字量I/O，可支持多达16个扩展模块 3、采用矩形高速现场总线，可支持多达16个扩展模块，并可支持扩展模块分布式安装和控制，距离可达100米内 4、全系列自带网口，多路串口，均可实现对PLC的编程； 选型表： 应用领域： 注塑机、 数控机床 、印版机、粉碎机、污水处理；
矩形科技 N80系列混合型PLC,数字量和模拟量组合，支持宽温定制，全国产化定制、可自由扩展组合，通过组网方式可实现大规模控制,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/9695a3be2b5b47508cd3b03029f5cfb6_w.png,产品简介： N80系列 PLC 是矩形科技基于自动化各行业研制一种小型PLC，可进行宽温定制，工作范围在-40~70℃，全系PLC分为经济型本体模块、标准型本体模块、混合型本体模块、扩展模块。单个PLC的I/O点数从16-48点，可支持7个扩展模块，通过组网方式可实现总点数超万。 产品特点： 1、可进行宽温定制，工作范围在-40~70℃之间，更加经济划算； 2、数字量输入，数字量输出（继电器、晶体管）； 3、支持比较，上下限中断梯形图； 4、支持异地远程在线实时编程调试； 5、具有丰富的通讯功能，如RS485、RS232、CAN等； 选型表： 应用领域： 水泵设备、木工设备、印刷设备、石材加工、测试设备、CTP印前设备；
矩形科技 ELink系列无线PLC,ELink无线PLC模块是基于物联网行业应用的一款网络型PLC，内置集成了无线通讯功能，按无线方式分为2G/4G方式、WIFI方式、Zigbee方式、433Mhz透传/LORA等四类。,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/12/024a03bd2973483cabc28b7c9ebccd7e_w.png,产品简介： ELink无线 PLC 模块是基于物联网行业应用的一款网络型PLC，其主要功能是在矩形标准型PLC的基础上，内置集成了无线通讯功能，按无线方式分为2G/4G方式、WIFI方式、Zigbee方式、433Mhz透传/LORA等四类。 产品特点： 1、由数据采集平台、云服务器以及一系列监控以及后台管理软件组成。包括微信小程序、专属APP，WEB后台等。可实现对各品牌PLC的远程监视、实时控制、远程编程等功能。 2、内置PLC远程调试模块，无需任何配置、只要微信扫一扫即可实现远程异地在线调试修改PLC程序，支持大部分的PLC产品 3、具备有串口（支持MODBUS、自定义协议）、以太网（MODBUS/TCP，自定义TCP、UDP等协议）、CAN等数据接口（ CANOPEN、J1939、自定义CAN协议） 选型表： 应用领域： 远程热水控制、城市物联网、智能楼宇；
矩形科技 N80系列标准型PLC,数字量和模拟量组合，支持宽温定制，全国产化定制、可自由扩展组合，通过组网方式可实现大规模控制,PLC,矩形科技,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202410/11/8ec50265fb67447ea9204be1f8389703_w.png,产品简介： N80系列 PLC 是矩形科技基于自动化各行业研制一种小型PLC，可进行宽温定制，工作范围在-40~70℃，全系PLC分为经济型本体模块、标准型本体模块、混合型本体模块、扩展模块。单个PLC的I/O点数从16-48点，可支持7个扩展模块，通过组网方式可实现总点数超万。 产品特点： 1、可进行宽温定制，工作范围在-40~70℃之间，更加经济划算； 2、数字量输入，数字量输出（继电器、晶体管）； 3、支持比较，上下限中断梯形图； 4、支持异地远程在线实时编程调试； 5、具有丰富的通讯功能，如RS485、RS232、CAN等； 选型表： 应用领域： 木工设备、印刷设备、石材加工、测试设备、CTP印前设备；
SIEMENS西门子模块6ES7155-5AA01-0AB0,"额定值 (DC)：24 V,耗⽤电流（额定值）：0.2 A; 24 V DC 时和空载时

允许范围，下限 (DC)：19.2 V

允许范围，上限 (DC)：28.8 V",PLC 其它,,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202409/27/0d82e5c09e6846aea03c0f00c66a1f5a_w.jpg,【本链接内容均来源于品牌厂商】 SIEMENS西门子模块6ES7155-5AA01-0AB0 产品规格： 电源电压： 额定值 (DC)：24 V 允许范围，下限 (DC)：19.2 V 允许范围，上限 (DC)：28.8 V 反极性保护：是 短路保护：是 电源和电压断路跨接： ● 停电/断电跨接时间 10 ms 输⼊电流： 耗⽤电流（额定值）：0.2 A; 24 V DC 时和空载时 耗⽤电流，最⼤值：1.2 A 接通电流，最⼤值：9 A 背板总线上的馈电功率：14 W 功率损失，典型值：4.5 W 产品功能： ● I&M 数据：是; I&M0 ⾄ I&M3 ● 运⾏期间更换模块（热插拔）：否 ● 时钟同步模式：是 ● 换⼑器：否 ● IO 数据的本地耦合：否 相关型号： 6ES7193-6BP00-0DA0 6ES7193-6BP00-0BA0 6ES7155-6AA01-0BN0 6ES7590-1AB60-0AA0 6ES7590-1AC40-0AA0 6ES7590-1AE80-0AA0 6ES7590-1AF30-0AA0
VC3-1616MAT-4 VC3-1616MAT-6 VCHON伟创PLC,VC3系列PLC采用先进的双核架构技术，能够处理复杂的控制任务，满足日益提高的工业自动化需求,PLC 小型PLC,,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202409/27/482d5892ce7141a3b334ce572e3f5ec1_w.jpg,【本链接内容均来源于品牌厂商】 VCHON伟创 PLC VC3-1616MAT-6 高性能：VC3系列PLC采用先进的双核架构技术，能够处理复杂的控制任务，满足日益提高的工业自动化需求。 丰富的扩展性：支持多种扩展模块，包括输入/输出模块、通讯模块等，可根据具体应用进行灵活配置。 强大的通讯能力：自带CAN通讯口和以太网通讯口，支持Modbus-TCP等多种通讯协议，便于与其他设备进行数据交换和远程监控。 高可靠性：采用高品质的电子元器件和严格的制造工艺，确保设备在恶劣环境下的稳定运行
HONEYWELL霍尼韦尔CPU模块2MLR-CPUHF,2MLR-CPUHF是霍尼韦尔MasterLogic-200系列PLC系统中的一个重要组成部分，主要用于系统的控制和数据处理。,PLC 小型PLC CPU模块,,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202408/30/384c25983d304258a2240ac5e8c3e5f4_w.jpg,HONEYWELL霍尼韦尔CPU模块2MLR-CPUHF 2MLR-CPUHF是霍尼韦尔MasterLogic-200系列 PLC 系统中的一个重要组成部分，主要用于系统的控制和数据处理。 该模块可能具备高性能的CPU核心，能够处理复杂的逻辑运算和控制任务。 MasterLogic-200 PLC系统广泛应用于工业自动化领域，以其高可靠性和强大的功能而著称。 相关型号： 2MLR-CPUH/F 2MLR-CPUH/S 2MLR-CPUH/T 2MLR-AC12 2MLR-AC22 2MLR-AC13 2MLR-AC23 2MLR-DC42 2MLR-M02P 2MLR-M06P 2MLR-EO8P 2MLR-E12P 2MLR-E12H 2MLR-DBST 2MLR-DBSF
Honeywell霍尼韦尔可编程控制器PUB6438SR-CHN,工作电压通常为AC24V，功耗较低，适合长时间稳定运行,PLC 小型PLC CPU模块,,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202408/21/4a9b628a47aa41ae92e05aa9e9114cbb_w.jpg,【本链接内容均来源于品牌厂商】 Honeywell霍尼韦尔可编程控制器PUB6438SR-CHN 电气特性：工作电压通常为AC24V，功耗较低，适合长时间稳定运行。 处理器与存储：配备高性能微处理器，以及一定容量的闪存（如512KB），用于存储程序和数据。 输入输出：支持多种输入信号类型（如干触点信号），并提供模拟输出（如电流电压），方便与其他设备接口。 网络通信：支持BACnet等网络通信协议，便于集成到更广泛的建筑自动化系统中。 三、应用环境 环境温度：可在较宽的温度范围内工作（-40°C至65°C），适应不同气候条件下的使用需求。 环境湿度：在相对湿度5%至95%（无凝露）的环境中能稳定运行。
韩国LS产电可编程控制器GPL-AV8C GPL-DV4C,"模拟量输入，支持多种电压范围（如DC 05V, 15V, 010V, -1010V等）",PLC,,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202408/05/353a4316d4214df7b81774b719e30937_w.jpg,"【本链接内容均来源于品牌厂商】 韩国LS产电可编程控制器GPL-AV8C GPL-DV4C 功能： 通道数：8通道模拟量输入 系统能力：支持最高16通道模拟量I/O 系统环境：可通过XGB扩展I/O轻松配置远程系统 操作系统：支持多种通讯协议，如Rnet, DeviceNet, Profibus-DP, MODBUS (RS-422/485), RAPIEnet(RJ-45) 系统功能：支持最高256点数字I/O 物理特性 机壳外型：铁壳变频器 防护等级：IP65"
APLC系列可编程通信控制器,一体式结构的具有宇电温控器通信控制功能的PLC，高性价比，拥有内置的高性能微处理器和核心运算控制系统，集成了输入点和输出点、扩展模块总线等。,PLC,宇电,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202405/27/b26d3f87b4394b6689e04b8611ba5768_w.png,1、一体式结构的具有宇电温控器通信控制功能的 PLC ，高性价比，拥有内置的高性能微处理器和核心运算控制系统，集成了输入点和输出点、扩展模块总线等。 2、主模块集成了16个数字I/O口（10输入/6输出）和2个通讯口，系统还可通过现场总线扩展模块联接现场总线网络。 3、拥有丰富的内置编程资源，采用三种标准化编程语言，通过性能强大的YD-station编程软件可实现调试监控手段。 4、串口通讯可以选用 MODBUS通讯协议，支持ASCII和RTU两种通讯模式，可以设成主站或者从站。 5、内置ATbus通讯协议，可以通过通讯口1直接接入或者通过通讯口0经过RS232/RS485转换器接入，组成一个N:N通讯网络。 6、具有完善的用户程序安全保护机制。
华茂欧特 AU7 812H高性能控制器,"华茂欧特AU7 812H高性能控制器，支持32轴控制，1.2G主频，50us扫描周期，性能强
悍，可扩展32个800H系列I0模块，使用Codesys软件编程",PLC 中型PLC CPU模块,华茂欧特,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202405/14/04cc2bb5b0c74107a4d5c9b24f23f0c9_w_01.png,订货号 AU7 812-1B0AA-0AA0-H 供电电源 24 VDC 以太网 支持MODBUS TCP协议，用于编程下载，连接上位机等 串行通信 2*RS485/RS232，支持MODBUS RTU或者自由口协议，最高115.2Kbps EtherCAT 支持 Profinet 支持 PLC 扫描周期 最小50微秒 本体扩展能力 32个SM800-H/MIL系列模块 CPU型号 A40I-H，1.2G主频 内存容量 1GB 硬盘容量 16GB 编程软件 CODESYS V3.5 SP17及以上版本 输入/输出规格 本体不带IO点 运动控制功能 支持PTP控制、电子凸轮、电子齿轮、直线/圆弧/3轴螺旋插补、CNC等运动控制功能，最多支持32轴控制。 工作环境 工作环境温度：-20～60℃，相对湿度:5%～90%(无凝露）
